,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
414,19,8000.0,zentral,1.0,0.0,1126.0,107.8,1855.01,3088.81,27.0,1
415,31,5000.0,zentral,1.0,67750.0,4770.0,107.8,35.8182,72663.6182,-98.0,0
416,64,2200.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,38.0,2
417,40,8000.0,sehr zentral,1.0,0.0,76739.0,107.8,3111.372,79958.172,-39.0,1
418,23,530.0,sehr zentral,0.0,0.0,1995.0,107.8,0.0,2102.8,-22.0,2
419,22,2500.0,sehr zentral,1.0,0.0,1995.0,107.8,2686.365,4789.165,-45.0,1
420,38,3500.0,zentral,1.0,0.0,0.0,0.0,2328.183,2328.183,35.0,3
421,34,7300.0,sehr zentral,1.0,0.0,8476.0,107.8,1343.1825,9926.9825,-66.0,1
422,57,4500.0,peripher,1.0,0.0,3050.0,107.8,968.5585,4126.3585,5.0,1
423,25,2500.0,sehr zentral,1.0,0.0,2064.0,107.8,27.0321,2198.8321,0.0,2
424,41,3000.0,zentral,2.0,0.0,2064.0,107.8,1673.298,3845.098,-27.0,1
425,22,5600.0,peripher,2.0,0.0,1064.0,0.0,4656.366,5720.366,13.0,3
426,20,2500.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
427,24,2700.0,sehr zentral,1.0,0.0,665.0,107.8,895.455,1668.255,12.0,1
428,27,4500.0,zentral,2.0,0.0,6756.0,0.0,4477.275,11233.275,-16.0,3
429,34,5500.0,sehr zentral,2.0,0.0,665.0,0.0,2852.091,3517.091,-33.0,3
430,39,900.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,-3.0,2
431,40,2900.0,sehr zentral,1.0,0.0,2801.8,0.0,3710.02,6511.82,-17.0,3
432,25,2500.0,zentral,1.0,0.0,0.0,107.8,895.455,1003.255,0.0,1
433,26,6000.0,sehr zentral,1.0,0.0,3325.0,107.8,1970.001,5402.801,-11.0,1
434,59,2500.0,zentral,1.0,0.0,798.0,107.8,358.182,1263.982,-7.0,2
435,19,2500.0,peripher,1.0,0.0,997.5,107.8,6268.185,7373.485,-61.0,1
436,27,3800.0,sehr zentral,0.0,0.0,266.0,107.8,0.0,373.8,-9.0,2
437,31,2300.0,sehr zentral,0.0,0.0,11448.0,107.8,0.0,11555.8,-41.0,2
438,36,5500.0,sehr zentral,1.0,1084.0,665.0,107.8,1391.2575,3248.0575,-12.0,0
439,31,3000.0,sehr zentral,1.0,0.0,798.0,107.8,358.182,1263.982,-4.0,1
440,61,600.0,zentral,1.0,0.0,0.0,0.0,411.9093,411.9093,-14.0,3
441,34,1600.0,sehr zentral,1.0,0.0,399.0,107.8,1611.819,2118.619,-2.0,1
